,OBJECTID_1,OBJECTID,PLOT,Exposure,SITE,GPS,GPS_ID,water_depth,SCH_p,SCH_D,TYP_P,TYP_D,ORG_DEP,LATITUDE,LONGITUDE,Slope,tot_Slope,avg_slope,Fetch_projected,REI_projected,lake_huron,NLCD,Euc_d,Cost_d,cost_sug,Cost_avg,water_depth1,F2013_NCMP_MI_Huron_46084b2c_BareEarth_1mGrid,new_slope,be_stmarys_01,be_stmarys_02_1_,be_stmarys_03,be_stmarys_04,be_stmarys_05,be_stmarys_06,be_stmarys_078,slope_rise_run,slope_riseRun1,slope_rise_run_1,slope_riseRun1_1,small_cost,cost_small,Field,slope_USE,Field1,inside1_small_backwards,F1,site_id,crew_name,date,year,transect_num,point_num,bottom_vis,substrate_type,org_depth_cm,
1,1,2,1,Unexposed,LIEC,Gray,116,0,1,7,0,0,0,46.09489,-84.001194,0,-1.45,-1.318181818,1074.041992,4176.898926,13,11,1169.713867,25409.11523,863964.3125,822822.517,177.1820068,-0.013181818,1.988090038,NA,NA,NA,NA,NA,NA,NA,NA,2.619873047,NA,2.619873047,1.349669456,3.175497293,NA,2.619873047,NA,,,,,,,,,,,,2.497763634
2,2,3,2,Unexposed,LIEC,Gray,117,35,0,0,0,0,0,46.094871,-84.001144,-3.5,-1.45,-1.31818,1074.041992,4176.898926,13,11,1169.713867,25406.48047,860723.5,822822.5,177.4429932,-0.0131818,2.669339895,NA,NA,NA,NA,NA,NA,NA,NA,-0.510800064,NA,-0.510800064,1.349669456,3.175497293,NA,-0.510800064,NA,,,,,,,,,,,,2.496562958
3,3,4,3,Unexposed,LIEC,Gray,118,51,0,0,0,0,0,46.094965,-84.001113,-1.6,-1.45,-1.31818,1041.45105,4048.789551,13,11,1169.713867,12906.7666,837778.1875,822822.5,177.1869965,-0.0131818,2.159029961,NA,NA,NA,NA,NA,NA,NA,NA,-1.499248981,NA,-1.499248981,1.339404821,3.174023867,NA,-1.499248981,NA,,,,,,,,,,,,2.495425701
4,4,5,4,Unexposed,LIEC,Gray,119,56,1,6,0,0,0,46.095075,-84.001129,-0.5,-1.45,-1.31818,1074.041992,4176.898926,13,11,1169.713867,12906.7666,825079.625,822822.5,177.3003998,-0.0131818,2.159029961,NA,NA,NA,NA,NA,NA,NA,NA,-1.499248981,NA,-1.499248981,1.329246879,3.165177345,NA,-1.499248981,NA,,,,,,,,,,,,2.480822563
5,5,6,5,Unexposed,LIEC,Gray,120,74,1,4,0,0,0,46.095166,-84.001194,-1.8,-1.45,-1.31818,1161.062988,4569.13916,13,11,1169.713867,12906.7666,814870.1875,822822.5,177.0995483,-0.0131818,1.206169963,NA,NA,NA,NA,NA,NA,NA,NA,0.815802455,NA,0.815802455,1.319198728,3.160096645,NA,0.815802455,NA,,,,,,,,,,,,2.465636015
6,6,7,6,Unexposed,LIEC,Gray,121,87,1,15,0,0,0,46.095242,-84.001211,-1.3,-1.45,-1.31818,1161.062988,4569.13916,13,11,1169.713867,407.0531006,814870.1875,822822.5,176.892334,-0.0131818,0.684302986,NA,NA,NA,NA,NA,NA,NA,NA,0.815802455,NA,0.815802455,1.319198728,3.15507102,NA,0.815802455,NA,,,,,,,,,,,,2.463006735
7,7,8,7,Unexposed,LIEC,Gray,122,112,1,8,0,0,0,46.095323,-84.001182,-2.5,-1.45,-1.31818,1161.062988,4569.13916,13,11,1169.713867,407.0531006,804922.1875,822822.5,176.8791522,-0.0131818,0.684302986,NA,NA,NA,NA,NA,NA,NA,NA,0.815802455,NA,0.815802455,1.311340451,3.15507102,NA,0.815802455,NA,,,,,,,,,,,,2.461258411
8,8,9,8,Unexposed,LIEC,Gray,123,110,0,0,0,0,0,46.095436,-84.001179,0.2,-1.45,-1.31818,1366.464966,5381.513184,13,11,1169.713867,394.8208923,795243.8125,822822.5,176.8659704,-0.0131818,0.684302986,NA,NA,NA,NA,NA,NA,NA,NA,0.675098896,NA,0.675098896,1.303614974,3.151140451,NA,0.675098896,NA,,,,,,,,,,,,2.436354876
9,9,10,9,Unexposed,LIEC,Gray,124,106,0,0,0,0,0,46.095528,-84.001179,0.4,-1.45,-1.31818,1366.464966,5381.513184,13,11,1169.713867,394.8208923,785844,822822.5,176.8527886,-0.0131818,0.593818009,NA,NA,NA,NA,NA,NA,NA,NA,0.675098896,NA,0.675098896,1.296034455,3.147276402,NA,0.675098896,NA,,,,,,,,,,,,2.298505545
10,10,11,10,Unexposed,LIEC,Gray,125,123,1,13,0,0,0,46.095618,-84.001152,-1.7,-1.45,-1.31818,1366.464966,5381.513184,13,11,1169.713867,394.8208923,776732.6875,822822.5,176.8396068,-0.0131818,0.593818009,NA,NA,NA,NA,NA,NA,NA,NA,0.675098896,NA,0.675098896,1.28861165,3.143485069,NA,0.675098896,NA,,,,,,,,,,,,2.283875465
