OBJECTID_12,PLOT,Exposure,transect,site_combined,site_individual,SCH_p,SCH_D,TYP_P,TYP_D,LATITUDE,LONGITUDE,cost_small,Fetch_projected,water_depth,slope_USE,speed_limit
1,1,Unexposed,LIEC,A,A,1,7,0,0,46.09489,-84.001194,3.175497293,991.4095459,0,-5.149604704,14
2,2,Unexposed,LIEC,A,A,0,0,0,0,46.094871,-84.001144,3.175497293,991.4095459,35,-0.753412946,14
3,3,Unexposed,LIEC,A,A,0,0,0,0,46.094965,-84.001113,3.174023867,991.4095459,51,-0.259531258,14
4,4,Unexposed,LIEC,A,A,1,6,0,0,46.095075,-84.001129,3.165177345,1066.438965,56,-0.259531258,14
5,5,Unexposed,LIEC,A,A,1,4,0,0,46.095166,-84.001194,3.160096645,1066.438965,74,-0.20598792,14
6,6,Unexposed,LIEC,A,A,1,15,0,0,46.095242,-84.001211,3.15507102,1066.438965,87,-0.20598792,14
7,7,Unexposed,LIEC,A,A,1,8,0,0,46.095323,-84.001182,3.15507102,1393.807495,112,-0.20598792,14
8,8,Unexposed,LIEC,A,A,0,0,0,0,46.095436,-84.001179,3.151140451,1393.807495,110,-1.958113522,14
9,9,Unexposed,LIEC,A,A,0,0,0,0,46.095528,-84.001179,3.147276402,1393.807495,106,-1.958113522,14
10,10,Unexposed,LIEC,A,A,1,13,0,0,46.095618,-84.001152,3.143485069,1457.639038,123,-1.958113522,14
11,11,Unexposed,LIEC,A,A,1,8,0,0,46.095703,-84.001156,3.139772415,1457.639038,145,-1.897975627,14
273,12,Unexposed,LIEC,A,A,0,0,0,0,46.09576765,-84.00115446,3.139772415,1457.639038,145,-1.897975627,14
274,13,Unexposed,LIEC,A,A,0,0,0,0,46.09585944,-84.00114947,3.136145115,1544.421265,145,-1.897975627,14
275,14,Unexposed,LIEC,A,A,0,0,0,0,46.09595614,-84.00114421,3.132610559,1544.421265,145,-1.897975627,14
276,15,Unexposed,LIEC,A,A,0,0,0,0,46.09603475,-84.00113757,3.129175663,1544.421265,145,4.242852625,14
12,1,Unexposed,LIEE,A,A,0,0,0,0,46.094943,-84.00082,3.177825451,1041.45105,0,-0.259531258,14
13,2,Unexposed,LIEE,A,A,0,0,0,0,46.095042,-84.000827,3.172828913,1090.187988,52,-0.259531258,14
14,3,Unexposed,LIEE,A,A,1,3,0,0,46.09514,-84.000826,3.168879032,1090.187988,56,-0.259531258,14
15,4,Unexposed,LIEE,A,A,1,3,0,0,46.095204,-84.000806,3.168879032,1090.187988,103,0.452447614,14
16,5,Unexposed,LIEE,A,A,0,0,0,0,46.095286,-84.000773,3.170011997,1353.195557,114,0.452447614,14
17,6,Unexposed,LIEE,A,A,1,5,0,0,46.09538,-84.00076,3.166244268,1353.195557,123,0.452447614,14
18,7,Unexposed,LIEE,A,A,1,9,0,0,46.09546,-84.000734,3.162550449,1353.195557,137,1.450873783,14
