,OBJECTID_1,OBJECTID,PLOT,Exposure,SITE,GPS,GPS_ID,water_depth,SCH_P,SCH_D,TYP_P,TYP_D,LAT,LONGITUDE,fetch,REI_projected,cost_distance,slope,speed_limit,SL_MJ
1,1,2,1,Unexposed,LIEC,Gray,116,0,1,7,0,0,46.09489,-84.001194,1074.041992,4176.898926,3.175497293,2.619873047,14,489.6196594
2,2,3,2,Unexposed,LIEC,Gray,117,35,0,0,0,0,46.094871,-84.001144,1074.041992,4176.898926,3.175497293,-0.510800064,14,489.6196594
3,3,4,3,Unexposed,LIEC,Gray,118,51,0,0,0,0,46.094965,-84.001113,1041.45105,4048.789551,3.174023867,-1.499248981,14,489.6196594
4,4,5,4,Unexposed,LIEC,Gray,119,56,1,6,0,0,46.095075,-84.001129,1074.041992,4176.898926,3.165177345,-1.499248981,14,489.6196594
5,5,6,5,Unexposed,LIEC,Gray,120,74,1,4,0,0,46.095166,-84.001194,1161.062988,4569.13916,3.160096645,0.815802455,14,489.6196594
6,6,7,6,Unexposed,LIEC,Gray,121,87,1,15,0,0,46.095242,-84.001211,1161.062988,4569.13916,3.15507102,0.815802455,14,489.6196594
7,7,8,7,Unexposed,LIEC,Gray,122,112,1,8,0,0,46.095323,-84.001182,1161.062988,4569.13916,3.15507102,0.815802455,14,489.6196594
8,8,9,8,Unexposed,LIEC,Gray,123,110,0,0,0,0,46.095436,-84.001179,1366.464966,5381.513184,3.151140451,0.675098896,14,489.6196594
9,9,10,9,Unexposed,LIEC,Gray,124,106,0,0,0,0,46.095528,-84.001179,1366.464966,5381.513184,3.147276402,0.675098896,14,489.6196594
10,10,11,10,Unexposed,LIEC,Gray,125,123,1,13,0,0,46.095618,-84.001152,1366.464966,5381.513184,3.143485069,0.675098896,14,489.6196594
11,11,12,11,Unexposed,LIEC,Gray,126,145,1,8,0,0,46.095703,-84.001156,1401.18396,5533.506348,3.139772415,0.516290069,14,489.6196594
12,12,13,1,Unexposed,LIEE,Gray,127,0,0,0,0,0,46.094943,-84.00082,1041.45105,4048.789551,3.177825451,-1.499248981,14,489.6196594
13,13,14,2,Unexposed,LIEE,Gray,128,52,0,0,0,0,46.095042,-84.000827,1041.45105,4048.789551,3.172828913,-1.499248981,14,489.6196594
14,14,15,3,Unexposed,LIEE,Gray,129,56,1,3,0,0,46.09514,-84.000826,1114.765991,4370.294434,3.168879032,-1.499248981,14,489.6196594
15,15,16,4,Unexposed,LIEE,Gray,130,103,1,3,0,0,46.095204,-84.000806,1114.765991,4370.294434,3.168879032,2.158278942,14,489.6196594
16,16,17,5,Unexposed,LIEE,Gray,131,114,0,0,0,0,46.095286,-84.000773,1114.765991,4370.294434,3.170011997,2.158278942,14,489.6196594
17,17,18,6,Unexposed,LIEE,Gray,132,123,1,5,0,0,46.09538,-84.00076,1114.765991,4370.294434,3.166244268,2.158278942,14,489.6196594
18,18,19,7,Unexposed,LIEE,Gray,133,137,1,9,0,0,46.09546,-84.000734,1384.745972,5487.007813,3.162550449,0.865484476,14,489.6196594
19,19,20,8,Unexposed,LIEE,Gray,134,160,1,8,0,0,46.095565,-84.000732,1384.745972,5487.007813,3.162550449,0.865484476,14,489.6196594
20,20,21,1,Unexposed,LIEW,Gray,135,0,0,0,0,0,46.094671,-84.00155,1048.453979,4061.697754,3.795473576,-2.255664825,14,489.6196594
21,21,22,2,Unexposed,LIEW,Gray,136,15,0,0,0,0,46.094745,-84.001594,1048.453979,4061.697754,3.17392087,5.00549078,14,489.6196594
22,22,23,3,Unexposed,LIEW,Gray,137,32,0,0,0,0,46.094842,-84.001593,1048.453979,4061.697754,3.168530941,5.00549078,14,489.6196594
23,23,24,4,Unexposed,LIEW,Gray,138,30,0,0,0,0,46.094929,-84.0016,1048.453979,4061.697754,3.163192272,0.765034854,14,489.6196594
24,24,25,5,Unexposed,LIEW,Gray,139,43,0,0,0,0,46.09501,-84.001607,1048.453979,4061.697754,3.163192272,0.765034854,14,489.6196594
